Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11,2.870000,2.900000,2.820000,2.890000,2.890000,4006300
2023-10-12,2.900000,2.930000,2.740000,2.780000,2.780000,3684700
2023-10-13,2.900000,3.010000,2.890000,2.940000,2.940000,5655200
2023-10-16,2.930000,3.000000,2.900000,2.950000,2.950000,3490900
2023-10-17,2.950000,3.050000,2.920000,3.030000,3.030000,4101000
2023-10-18,3.080000,3.140000,3.020000,3.060000,3.060000,5368900
2023-10-19,3.040000,3.070000,2.990000,3.050000,3.050000,3745800
2023-10-20,3.080000,3.160000,3.030000,3.040000,3.040000,4574400
2023-10-23,3.010000,3.050000,2.880000,2.980000,2.980000,3702300
2023-10-24,2.940000,2.990000,2.920000,2.940000,2.940000,2692200
2023-10-25,2.910000,2.980000,2.880000,2.880000,2.880000,2782800
2023-10-26,2.870000,2.900000,2.800000,2.830000,2.830000,4497500
2023-10-27,2.840000,2.890000,2.780000,2.890000,2.890000,3617700
2023-10-30,2.990000,3.000000,2.860000,2.880000,2.880000,3571000
2023-10-31,2.890000,2.950000,2.800000,2.810000,2.810000,3517100
2023-11-01,2.860000,2.870000,2.730000,2.800000,2.800000,3945000
2023-11-02,2.850000,2.850000,2.770000,2.840000,2.840000,3474200
2023-11-03,2.880000,3.060000,2.880000,3.020000,3.020000,4834700
2023-11-06,3.030000,3.030000,2.910000,2.910000,2.910000,2984900
2023-11-07,2.900000,2.900000,2.770000,2.890000,2.890000,4511700
2023-11-08,3.120000,3.130000,2.920000,2.940000,2.940000,8717500
2023-11-09,2.970000,3.150000,2.920000,2.990000,2.990000,6454600
2023-11-10,2.980000,3.000000,2.920000,2.990000,2.990000,4179800
2023-11-13,2.980000,3.090000,2.970000,3.040000,3.040000,3352200
2023-11-14,3.140000,3.380000,3.110000,3.370000,3.370000,6315500
2023-11-15,3.350000,3.400000,3.280000,3.380000,3.380000,5029500
2023-11-16,3.370000,3.610000,3.360000,3.520000,3.520000,8943100
2023-11-17,3.590000,3.630000,3.490000,3.560000,3.560000,4928500
2023-11-20,3.500000,3.550000,3.420000,3.540000,3.540000,4074500
2023-11-21,3.600000,3.730000,3.570000,3.650000,3.650000,6108200
2023-11-22,3.660000,3.690000,3.590000,3.650000,3.650000,3968000
2023-11-24,3.660000,3.750000,3.660000,3.690000,3.690000,2587700
2023-11-27,3.770000,3.850000,3.710000,3.770000,3.770000,6722700
2023-11-28,3.830000,3.950000,3.790000,3.940000,3.940000,6137500
2023-11-29,3.960000,3.980000,3.900000,3.950000,3.950000,5505300
2023-11-30,3.960000,3.960000,3.850000,3.900000,3.900000,5093100
2023-12-01,3.900000,4.050000,3.810000,4.040000,4.040000,7362500
2023-12-04,3.950000,3.980000,3.860000,3.920000,3.920000,7626000
2023-12-05,3.870000,3.870000,3.760000,3.790000,3.790000,5816600
2023-12-06,3.800000,3.850000,3.700000,3.740000,3.740000,4146800
2023-12-07,3.750000,3.770000,3.690000,3.740000,3.740000,3909000
2023-12-08,3.670000,3.720000,3.580000,3.640000,3.640000,4240300
2023-12-11,3.580000,3.690000,3.520000,3.670000,3.670000,4144500
2023-12-12,3.680000,3.680000,3.520000,3.540000,3.540000,3489400
2023-12-13,3.560000,3.860000,3.520000,3.850000,3.850000,5597800
2023-12-14,3.930000,4.070000,3.890000,3.940000,3.940000,6254500
2023-12-15,3.910000,4.000000,3.900000,3.940000,3.940000,4894100
2023-12-18,3.960000,3.980000,3.810000,3.860000,3.860000,3777900
2023-12-19,3.920000,4.050000,3.830000,3.990000,3.990000,5069900
2023-12-20,4.000000,4.010000,3.850000,3.860000,3.860000,4404700
2023-12-21,3.900000,4.000000,3.890000,3.970000,3.970000,4683900
2023-12-22,4.030000,4.150000,3.960000,3.960000,3.960000,5210000
2023-12-26,3.980000,4.000000,3.900000,3.980000,3.980000,1946400
2023-12-27,4.010000,4.110000,3.970000,4.000000,4.000000,4162500
2023-12-28,3.980000,4.010000,3.890000,3.890000,3.890000,3853300
2023-12-29,3.840000,3.920000,3.750000,3.860000,3.860000,4770200
2024-01-02,3.850000,3.880000,3.730000,3.730000,3.730000,4130400
2024-01-03,3.630000,3.660000,3.570000,3.620000,3.620000,6217800
2024-01-04,3.620000,3.690000,3.580000,3.680000,3.680000,4268400
2024-01-05,3.680000,3.760000,3.630000,3.650000,3.650000,3429900
2024-01-08,3.590000,3.700000,3.550000,3.640000,3.640000,3656800
2024-01-09,3.640000,3.660000,3.560000,3.570000,3.570000,4056100
2024-01-10,3.600000,3.730000,3.590000,3.700000,3.700000,5034200
2024-01-11,3.730000,3.740000,3.540000,3.630000,3.630000,7792400
2024-01-12,3.760000,3.930000,3.750000,3.800000,3.800000,5953100
2024-01-16,3.750000,3.760000,3.650000,3.670000,3.670000,4153000
2024-01-17,3.580000,3.590000,3.500000,3.540000,3.540000,4736600
2024-01-18,3.360000,3.410000,3.010000,3.130000,3.130000,12256700
2024-01-19,3.130000,3.220000,3.010000,3.020000,3.020000,6285500
2024-01-22,3.010000,3.140000,2.950000,3.080000,3.080000,8362100
2024-01-23,3.130000,3.160000,3.080000,3.110000,3.110000,4533300
2024-01-24,3.180000,3.220000,3.060000,3.060000,3.060000,4494200
2024-01-25,3.100000,3.130000,3.060000,3.090000,3.090000,4343700
2024-01-26,3.090000,3.130000,3.070000,3.070000,3.070000,2427300
2024-01-29,3.100000,3.150000,3.030000,3.130000,3.130000,4317000
2024-01-30,3.150000,3.170000,3.060000,3.100000,3.100000,3536400
2024-01-31,3.120000,3.160000,3.030000,3.030000,3.030000,4735500
2024-02-01,3.060000,3.190000,3.060000,3.190000,3.190000,4481200
2024-02-02,3.090000,3.170000,3.040000,3.150000,3.150000,4778100
2024-02-05,3.080000,3.120000,3.040000,3.070000,3.070000,3088800
2024-02-06,3.090000,3.140000,3.060000,3.120000,3.120000,3701100
2024-02-07,3.110000,3.120000,3.020000,3.030000,3.030000,2461500
2024-02-08,2.990000,3.030000,2.960000,2.980000,2.980000,3445000
2024-02-09,2.960000,2.980000,2.900000,2.900000,2.900000,3762200
2024-02-12,2.910000,2.980000,2.880000,2.940000,2.940000,4233900
2024-02-13,2.890000,2.900000,2.700000,2.740000,2.740000,6768100
2024-02-14,2.740000,2.800000,2.730000,2.770000,2.770000,4302600
2024-02-15,2.830000,2.920000,2.820000,2.880000,2.880000,5567400
2024-02-16,2.840000,2.900000,2.820000,2.840000,2.840000,4134000
2024-02-20,2.850000,2.850000,2.770000,2.800000,2.800000,4118600
2024-02-21,2.790000,2.800000,2.740000,2.790000,2.790000,3275500
2024-02-22,2.800000,2.810000,2.690000,2.720000,2.720000,6350600
2024-02-23,2.730000,2.790000,2.690000,2.740000,2.740000,5830600
2024-02-26,2.700000,2.720000,2.650000,2.720000,2.720000,2976900
2024-02-27,2.720000,2.740000,2.680000,2.700000,2.700000,2621100
2024-02-28,2.700000,2.700000,2.630000,2.640000,2.640000,2596500
2024-02-29,2.710000,2.780000,2.700000,2.710000,2.710000,2924100
2024-03-01,2.740000,2.940000,2.710000,2.910000,2.910000,7855600
2024-03-04,2.990000,3.050000,2.930000,3.030000,3.030000,9403900
2024-03-05,3.090000,3.160000,2.960000,3.010000,3.010000,7469900
2024-03-06,3.020000,3.130000,3.000000,3.060000,3.060000,5538900
2024-03-07,3.070000,3.240000,2.930000,3.240000,3.240000,8867600
2024-03-08,3.260000,3.300000,3.160000,3.240000,3.240000,8514200
2024-03-11,3.240000,3.440000,3.200000,3.400000,3.400000,7474300
2024-03-12,3.320000,3.390000,3.250000,3.390000,3.390000,5113600
